MoleculeName	
UniProt:P46109 CRKL	
UniProt:P46108 CRK	
UniProt:Q13905 RAPGEF1	
UniProt:Q8WV28 BLNK	
UniProt:P15498 VAV1	
UniProt:P63104 YWHAZ	
UniProt:P42680 TEC	
UniProt:P17612 PRKACA	
UniProt:Q8NEV9 IL27	
UniProt:Q6UWB1 IL27RA	
UniProt:Q14213 EBI3	
UniProt:P27824 CANX	
UniProt:P42701 IL12RB1	
UniProt:Q9H3K6 BOLA2	
UniProt:P26038 MSN	
UniProt:P14174 MIF	
UniProt:P04179 SOD2	
UniProt:P52597 HNRNPF	
UniProt:Q53EL6 PDCD4	
UniProt:Q00169 PITPNA	
UniProt:P11233 RALA	
UniProt:P20700 LMNB1	
UniProt:P13796 LCP1	
UniProt:O14979 HNRNPDL	
UniProt:P84077 ARF1	
UniProt:Q13126 MTAP	
UniProt:P01579 IFNG	
UniProt:P00915 CA1	
UniProt:P78417 GSTO1	
UniProt:P37837 TALDO1	
UniProt:P09661 SNRPA1	
UniProt:P07355 ANXA2	
UniProt:P61224 RAP1B	
UniProt:P22626 HNRNPA2B1	
UniProt:P52907 CAPZA1	
UniProt:Q99439 CNN2	
UniProt:P60953 CDC42	
UniProt:Q13177 PAK2	
UniProt:P05120 SERPINB2	
UniProt:P62937 PPIA	
UniProt:O00170 AIP	
UniProt:P09210 GSTA2	
UniProt:P17987 TCP1	
UniProt:P05388 RPLP0	
UniProt:P00441 SOD1	
UniProt:P23528 CFL1	
UniProt:P38646 HSPA9	
UniProt:P51809 VAMP7	
UniProt:Q99665 IL12RB2	
UniProt:P07237 P4HB	
UniProt:O14733 MAP2K7	
UniProt:P45984 MAPK9	
UniProt:P53779 MAPK10	
UniProt:Q16644 MAPKAPK3	
UniProt:P49137 MAPKAPK2	
UniProt:Q16539 MAPK14	
UniProt:Q15759 MAPK11	
UniProt:P46734 MAP2K3	
UniProt:Q14738 PPP2R5D	
UniProt:P62714 PPP2CB	
UniProt:P67775 PPP2CA	
UniProt:P30153 PPP2R1A	
UniProt:P30154 PPP2R1B	
UniProt:P28482 MAPK1	
UniProt:Q13164 MAPK7	
UniProt:P27361 MAPK3	
UniProt:O75582 RPS6KA5	
UniProt:P19419 ELK1	
UniProt:Q15349 RPS6KA2	
UniProt:Q15418 RPS6KA1	
UniProt:P51812 RPS6KA3	
UniProt:Q06413 MEF2C	
UniProt:Q02078 MEF2A	
UniProt:Q13115 DUSP4	
UniProt:P51452 DUSP3	
UniProt:Q16828 DUSP6	
UniProt:Q16829 DUSP7	
UniProt:Q8IV63 VRK3	
UniProt:P16220 CREB1	
UniProt:P18846 ATF1	
UniProt:P05412 JUN	
UniProt:P15336 ATF2	
UniProt:Q96F46 IL17RA	
UniProt:Q9H293 IL25	
UniProt:Q9NRM6 IL17RB	
UniProt:Q9P0M4 IL17C	
UniProt:Q8NFR9 IL17RE	
UniProt:Q8NAC3 IL17RC	
